Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Tunisia,,,,,,,,1064.44851,1192.81088,1461.99225,1358.85988,1403.89795,1590.34373,1755.95141,1770.69021,1751.00477,1942.66881,1893.23867,1765.24484,1701.58107,1620.48515,1584.24254,1671.98851
Türkiye,362.6835,351.52171,365.98963,491.75373,503.22199,573.45776,616.89357,709.09422,744.93074,805.02202,884.97786,978.57676,1099.94504,1173.66863,1160.49391,1205.0807,1246.89301,1369.34598,1530.90472,1629.73242,1786.51708,1999.53412,
Uganda,,,,,,,,,,,39.61944,,,,28.72612,,,,,,,,
Ukraine,,,,,,,1471.36105,1453.01562,1427.7467,1346.21598,1328.3977,1258.80836,1231.28283,1159.97036,1020.88233,1005.99722,1037.24086,994.07744,988.07663,880.55411,846.24846,752.81183,580.81066
United Arab Emirates,,,,,,,,,,,,,,,,2066.50624,2490.70229,,2516.4252,2536.50717,2612.33265,2666.01537,
United Kingdom of Great Britain and Northern Ireland,2903.80562,3089.00022,3346.28909,3642.2963,3828.46992,4130.60244,4192.76273,4140.14181,4096.67163,4131.85899,4105.41626,3988.47723,4030.67231,4178.50127,4285.53499,4397.22208,4448.35197,4491.317,,,,,
United Republic of Tanzania,,,,,,,,,,,35.96654,,,19.15065,,,,,,,,,
United States of America,3478.96067,3515.90714,3561.70267,3763.71922,3624.34455,3547.88348,3585.58295,3534.15104,3661.42542,3785.63513,3549.27577,3663.78662,3649.93876,3735.77673,3836.59815,3874.7866,3830.4626,3958.56396,4261.98949,4308.87396,4451.78104,,
United States Virgin Islands,,,,,,,,,,,,,,,,,,,,,,,
Uruguay,280.42692,,375.8808,,,,,,428.84233,560.17562,631.36743,622.2792,640.47321,644.549,657.34357,680.01858,731.95725,749.07945,779.43961,795.96424,813.23793,838.50792,
Uzbekistan,662.31273,615.22875,630.84492,588.43584,578.61799,633.38555,566.92484,558.88462,582.8815,575.47771,547.33838,577.60108,516.08004,510.53398,505.02084,501.23262,509.89434,499.59238,480.43229,421.46492,426.82076,525.33211,547.49145
Venezuela (Bolivarian Republic of),61.78341,71.41692,70.1527,95.85487,105.71213,122.80112,147.9082,164.84927,189.69268,185.15403,203.45377,232.46487,296.60515,365.32079,272.88552,246.58669,292.0226,,,230.67055,289.18399,275.85283,351.97235
Viet Nam,,,116.27459,,,,,,,,,,,686.81202,,685.66343,,715.4071,,765.51782,,779.30847,
Zambia,,,,,,,,,42.45223,,,,,,,,,,,,,,
Zimbabwe,,,,,,,,,,,,,99.44353,,,,,,,,,,
Sustainable Development Goal Regions,,,,,,,,,,,,,,,,,,,,,,,
  World,804.65865,820.96919,831.25985,858.71747,868.5863,902.39867,923.90399,951.78778,976.16665,998.77568,1009.79716,1041.11893,1066.34118,1093.8183,1118.29383,1143.08011,1164.61254,1195.1174,1244.70302,1294.48198,1326.85573,1352.49955,
  Landlocked Developing Countries,146.3883,144.05764,142.79781,139.22222,139.78912,145.50843,139.88091,133.38968,136.31727,137.52731,137.89366,141.50483,151.2814,156.26985,161.53988,162.51643,158.78502,158.15916,157.02849,164.78766,166.02706,169.34228,
  Least Developed Countries,42.07215,43.22904,44.46801,44.86266,45.40605,47.1157,47.8115,48.99097,52.55467,54.57675,56.95849,58.13989,59.13593,60.35169,62.69917,65.43619,67.45107,70.28555,72.01722,72.63639,73.21338,72.47363,
  Small Island Developing States,495.01349,498.79419,522.25399,542.14843,563.10154,606.33258,624.47943,653.322,661.10146,701.33738,715.32679,733.00189,729.32268,758.9166,766.35226,801.67002,831.54331,824.98939,831.76129,875.01595,899.32435,896.93722,
  Sub-Saharan Africa,62.7867,65.36033,64.19735,65.1692,70.77382,70.80232,69.50144,67.86981,73.6094,78.04715,81.09806,83.40018,85.21298,87.80416,89.39067,93.6587,95.63452,99.07435,98.90001,97.98225,96.40406,95.68491,
  Northern Africa and Western Asia,544.22219,539.98012,540.85032,553.94218,555.72637,564.44349,578.73505,594.46947,571.60031,593.19624,620.48085,649.73068,710.37373,745.54702,784.79345,800.77462,827.05696,848.00944,871.41144,925.13991,950.42232,1005.26919,
  Northern Africa,470.43315,468.96719,474.8654,464.17272,466.17057,470.80255,491.03855,498.6085,439.19579,464.57226,496.43123,527.14621,558.77938,598.67721,676.56649,686.20037,714.26756,714.65917,710.3854,762.48852,762.88415,766.75351,
  Western Asia,611.44645,604.54085,600.71448,635.22965,636.67118,648.88549,657.32958,679.71102,688.39214,705.74501,728.33368,755.98405,841.02075,871.97138,877.91206,899.49538,924.44124,963.44066,1011.50598,1066.91751,1114.19897,1215.38326,
  Central and Southern Asia,129.95849,132.57566,136.08079,138.54721,141.95133,149.80457,158.48218,165.43455,169.23411,170.59676,173.62708,180.71773,190.20616,199.71717,217.6289,235.38376,259.75119,284.08643,298.83612,307.60152,313.81061,317.06809,
  Central Asia,446.69955,427.91723,433.66299,415.2168,414.8002,459.55434,430.69315,410.31646,410.5887,403.82551,393.62371,412.19824,455.86974,491.74343,505.70965,501.49164,481.14119,465.84162,458.58299,424.85232,442.38405,471.52427,
  Southern Asia,117.87551,121.40166,124.91375,128.23901,131.85155,138.39577,148.49476,156.46763,160.40383,162.0616,165.5689,172.23066,180.45212,188.97006,206.99266,225.52134,251.50944,277.29272,292.84363,303.18463,308.94516,311.19348,
  Eastern and South-Eastern Asia,700.49849,731.4436,743.44181,783.39561,810.43479,900.29925,944.46843,1020.75833,1066.32218,1117.16552,1162.96742,1227.54053,1280.71822,1330.57224,1368.07492,1397.8889,1442.08631,1479.83792,1554.95594,1682.00999,1762.23808,1821.08458,
